Iteration 1: c = ), s = srsts, state = 0
Iteration 1255: c = {, s = srsee, state = 9
Iteration 1256: c = ), s = teetr, state = 9
Iteration 1257: c = a, s = sttre, state = 9
Iteration 1258: c = }, s = settr, state = 9
Iteration 1259: c =  , s = rtree, state = 9
Iteration 1260: c = (, s = strre, state = 9
Iteration 1261: c = ], s = trsrt, state = 9
Iteration 1262: c = a, s = tesse, state = 9
Iteration 1263: c =  , s = ttrss, state = 9
Iteration 1264: c = ], s = esrsr, state = 9
Iteration 1265: c = ), s = ssest, state = 9
Iteration 1266: c = ], s = tssss, state = 9
Iteration 1267: c = x, s = eestt, state = 9
Iteration 1268: c = ], s = sstsr, state = 9
Iteration 1269: c = {, s = tsrtr, state = 9
Iteration 1270: c = [, s = estsr, state = 9
Iteration 1271: c = (, s = rtrse, state = 9
Iteration 1272: c = ), s = tstee, state = 9
Iteration 1273: c = {, s = etres, state = 9
Iteration 1274: c = }, s = teste, state = 9
Iteration 1275: c = }, s = rsrtr, state = 9
Iteration 1276: c = a, s = erres, state = 9
Iteration 1277: c = ), s = terss, state = 9
Iteration 1278: c = (, s = rrere, state = 9
Iteration 1279: c = a, s = rrrtt, state = 9
Iteration 1280: c = [, s = ettss, state = 9
Iteration 1281: c = {, s = sttsr, state = 9
Iteration 1282: c =  , s = rtsre, state = 9
Iteration 1283: c = }, s = eeese, state = 9
Iteration 1284: c =  , s = essse, state = 9
Iteration 1285: c = ], s = tsetr, state = 9
Iteration 1286: c = (, s = sttse, state = 9
Iteration 1287: c = [, s = tetse, state = 9
Iteration 1288: c = a, s = ttsre, state = 9
Iteration 1289: c = (, s = stere, state = 9
Iteration 1290: c = ), s = erest, state = 9
Iteration 1291: c = {, s = ssrer, state = 9
Iteration 1292: c = a, s = rttte, state = 9
Iteration 1293: c = (, s = rrrsr, state = 9
Iteration 1294: c = [, s = esrts, state = 9
Iteration 1295: c = }, s = ersss, state = 9
Iteration 1296: c = {, s = rrtre, state = 9
Iteration 1297: c = ], s = sstse, state = 9
Iteration 1298: c = ), s = teett, state = 9
Iteration 1299: c = (, s = rerer, state = 9
Iteration 1300: c =  , s = sesrr, state = 9
Iteration 1301: c = {, s = sreer, state = 9
Iteration 1302: c = ], s = etere, state = 9
Iteration 1303: c = ], s = rrret, state = 9
Iteration 1304: c = {, s = ttrtr, state = 9
Iteration 1305: c = a, s = etsrt, state = 9
Iteration 1306: c =  , s = eesst, state = 9
Iteration 1307: c = x, s = eresr, state = 9
Iteration 1308: c = [, s = erses, state = 9
Iteration 1309: c = a, s = reeer, state = 9
Iteration 1310: c = ], s = eerte, state = 9
Iteration 1311: c = x, s = esete, state = 9
Iteration 1312: c = {, s = ssrte, state = 9
Iteration 1313: c = }, s = ssert, state = 9
Iteration 1314: c = {, s = strtr, state = 9
Iteration 1315: c = {, s = rseee, state = 9
Iteration 1316: c = (, s = etess, state = 9
Iteration 1317: c = a, s = tretr, state = 9
Iteration 1318: c = ], s = rsres, state = 9
Iteration 1319: c = x, s = rrsrt, state = 9
Iteration 1320: c = (, s = rreee, state = 9
Iteration 1321: c = x, s = rsesr, state = 9
Iteration 1322: c = }, s = rtret, state = 9
Iteration 1323: c = ), s = ttstr, state = 9
Iteration 1324: c = }, s = sreer, state = 9
Iteration 1325: c = }, s = rreee, state = 9
Iteration 1326: c = ], s = tsrer, state = 9
Iteration 1327: c =  , s = erres, state = 9
Iteration 1328: c =  , s = sesre, state = 9
Iteration 1329: c = [, s = etstr, state = 9
Iteration 1330: c = a, s = rrsee, state = 9
Iteration 1331: c = (, s = teets, state = 9
Iteration 1332: c = ], s = ttstr, state = 9
Iteration 1333: c = [, s = ssert, state = 9
Iteration 1334: c = ], s = srsrt, state = 9
Iteration 1335: c = [, s = sttrr, state = 9
Iteration 1336: c = ), s = rtees, state = 9
Iteration 1337: c = ], s = tssee, state = 9
Iteration 1338: c = {, s = eresr, state = 9
Iteration 1339: c =  , s = etett, state = 9
Iteration 1340: c = (, s = esrrs, state = 9
Iteration 1341: c = x, s = esrsr, state = 9
Iteration 1342: c = a, s = strrr, state = 9
Iteration 1343: c = x, s = teset, state = 9
Iteration 1344: c = (, s = erest, state = 9
Iteration 1345: c =  , s = tette, state = 9
Iteration 1346: c =  , s = tsrte, state = 9
Iteration 1347: c =  , s = sttst, state = 9
Iteration 1348: c = ), s = rtrsr, state = 9
Iteration 1349: c = ], s = eersr, state = 9
Iteration 1350: c = ), s = ttrss, state = 9
Iteration 1351: c = (, s = rerre, state = 9
Iteration 1352: c = (, s = rtrte, state = 9
Iteration 1353: c =  , s = sstsr, state = 9
Iteration 1354: c = x, s = eerer, state = 9
Iteration 1355: c = ], s = ettes, state = 9
Iteration 1356: c = {, s = tstrs, state = 9
Iteration 1357: c = ), s = estse, state = 9
Iteration 1358: c = x, s = stsee, state = 9
Iteration 1359: c = [, s = rsrrr, state = 9
Iteration 1360: c = ], s = eerrs, state = 9
Iteration 1361: c = a, s = ssres, state = 9
Iteration 1362: c = {, s = etrre, state = 9
Iteration 1363: c = x, s = rtrtr, state = 9
Iteration 1364: c = ], s = srtse, state = 9
Iteration 1365: c = (, s = tsrts, state = 9
Iteration 1366: c = }, s = ereee, state = 9
Iteration 1367: c = a, s = tssts, state = 9
Iteration 1368: c = ], s = rttrs, state = 9
Iteration 1369: c = (, s = errrs, state = 9
Iteration 1370: c = ), s = retrr, state = 9
Iteration 1371: c = ), s = tesrs, state = 9
Iteration 1372: c = {, s = tessr, state = 9
Iteration 1373: c =  , s = srrer, state = 9
Iteration 1374: c = {, s = eesss, state = 9
Iteration 1375: c = ), s = tssts, state = 9
Iteration 1376: c = }, s = esrts, state = 9
Iteration 1377: c =  , s = tsrsr, state = 9
Iteration 1378: c = [, s = tsett, state = 9
Iteration 1379: c = ], s = eettt, state = 9
Iteration 1380: c = x, s = tstee, state = 9
Iteration 1381: c = [, s = rstrs, state = 9
Iteration 1382: c = [, s = serst, state = 9
Iteration 1383: c = {, s = tssre, state = 9
Iteration 1384: c =  , s = essre, state = 9
Iteration 1385: c =  , s = eerrs, state = 9
Iteration 1386: c = [, s = ssres, state = 9
Iteration 1387: c = [, s = tettt, state = 9
Iteration 1388: c = x, s = tsees, state = 9
Iteration 1389: c = }, s = treer, state = 9
Iteration 1390: c = x, s = tsrts, state = 9
Iteration 1391: c = [, s = rrers, state = 9
Iteration 1392: c = [, s = serse, state = 9
Iteration 1393: c = ), s = ersss, state = 9
Iteration 1394: c = {, s = eeets, state = 9
Iteration 1395: c = ), s = setsr, state = 9
Iteration 1396: c = ], s = resee, state = 9
Iteration 1397: c = (, s = erses, state = 9
Iteration 1398: c =  , s = ettre, state = 9
Iteration 1399: c = }, s = etsss, state = 9
Iteration 1400: c = [, s = trsts, state = 9
Iteration 1401: c = {, s = esrtr, state = 9
Iteration 1402: c = }, s = reess, state = 9
Iteration 1403: c = a, s = ersrr, state = 9
Iteration 1404: c = x, s = setrt, state = 9
Iteration 1405: c = a, s = esere, state = 9
Iteration 1406: c = [, s = tsets, state = 9
Iteration 1407: c = ], s = rsssr, state = 9
Iteration 1408: c = [, s = eeere, state = 9
Iteration 1409: c = a, s = rtstr, state = 9
Iteration 1410: c = (, s = retee, state = 9
Iteration 1411: c = }, s = rrtet, state = 9
Iteration 1412: c = ], s = trtes, state = 9
Iteration 1413: c = {, s = strtt, state = 9
Iteration 1414: c =  , s = rtess, state = 9
Iteration 1415: c = x, s = tsttt, state = 9
Iteration 1416: c = {, s = rtete, state = 9
Iteration 1417: c = x, s = errre, state = 9
Iteration 1418: c = (, s = rrsrt, state = 9
Iteration 1419: c = ], s = srers, state = 9
Iteration 1420: c = x, s = essre, state = 9
Iteration 1421: c = a, s = eeesr, state = 9
Iteration 1422: c = ], s = sests, state = 9
Iteration 1423: c = }, s = estts, state = 9
Iteration 1424: c = x, s = eetse, state = 9
Iteration 1425: c = (, s = esttt, state = 9
Iteration 1426: c = ], s = eress, state = 9
Iteration 1427: c = }, s = rrtst, state = 9
Iteration 1428: c = x, s = eeter, state = 9
Iteration 1429: c = ), s = rettt, state = 9
Iteration 1430: c =  , s = resrr, state = 9
Iteration 1431: c = ], s = reest, state = 9
Iteration 1432: c = }, s = rtrte, state = 9
Iteration 1433: c = x, s = etrrr, state = 9
Iteration 1434: c = x, s = srset, state = 9
Iteration 1435: c = }, s = ettrt, state = 9
Iteration 1436: c = (, s = erets, state = 9
Iteration 1437: c = x, s = ssrse, state = 9
Iteration 1438: c = a, s = ssrst, state = 9
Iteration 1439: c = }, s = terst, state = 9
Iteration 1440: c =  , s = rrttr, state = 9
Iteration 1441: c = ), s = ssste, state = 9
Iteration 1442: c = a, s = rtsrs, state = 9
Iteration 1443: c = x, s = ersss, state = 9
Iteration 1444: c = {, s = ssttr, state = 9
Iteration 1445: c = x, s = srset, state = 9
Iteration 1446: c = a, s = reese, state = 9
Iteration 1447: c =  , s = teeee, state = 9
Iteration 1448: c = }, s = estrr, state = 9
Iteration 1449: c = {, s = etrrs, state = 9
Iteration 1450: c = (, s = srres, state = 9
Iteration 1451: c = x, s = rsrer, state = 9
Iteration 1452: c = a, s = ttsre, state = 9
Iteration 1453: c = [, s = rssts, state = 9
Iteration 1454: c = ), s = ereer, state = 9
Iteration 1455: c = x, s = etrer, state = 9
Iteration 1456: c = x, s = rrree, state = 9
Iteration 1457: c = ], s = srrer, state = 9
Iteration 1458: c = [, s = rrtsr, state = 9
Iteration 1459: c = }, s = eesst, state = 9
Iteration 1460: c = (, s = sress, state = 9
Iteration 1461: c = ], s = rsert, state = 9
Iteration 1462: c =  , s = rssrt, state = 9
Iteration 1463: c = }, s = ettes, state = 9
Iteration 1464: c = {, s = tteee, state = 9
Iteration 1465: c = }, s = ttree, state = 9
Iteration 1466: c = a, s = seere, state = 9
Iteration 1467: c = ), s = ssses, state = 9
Iteration 1468: c = ), s = rrete, state = 9
Iteration 1469: c = {, s = trsre, state = 9
Iteration 1470: c =  , s = rrtre, state = 9
Iteration 1471: c = (, s = trsrr, state = 9
Iteration 1472: c = (, s = rsett, state = 9
Iteration 1473: c = x, s = rtret, state = 9
Iteration 1474: c = ], s = rsess, state = 9
Iteration 1475: c = x, s = ssses, state = 9
Iteration 1476: c = ], s = eerte, state = 9
Iteration 1477: c =  , s = tssre, state = 9
Iteration 1478: c = {, s = reert, state = 9
Iteration 1479: c = a, s = etsss, state = 9
Iteration 1480: c = ), s = rrste, state = 9
Iteration 1481: c = ), s = tssts, state = 9
Iteration 1482: c =  , s = tesee, state = 9
Iteration 1483: c = ], s = tsres, state = 9
Iteration 1484: c = x, s = ertrs, state = 9
Iteration 1485: c = ), s = rtets, state = 9
Iteration 1486: c = (, s = rersr, state = 9
Iteration 1487: c = [, s = sttrr, state = 9
Iteration 1488: c = }, s = trtre, state = 9
Iteration 1489: c = ), s = tsess, state = 9
Iteration 1490: c =  , s = tttrs, state = 9
Iteration 1491: c = [, s = ssstr, state = 9
Iteration 1492: c = ], s = eteet, state = 9
Iteration 1493: c = {, s = steet, state = 9
Iteration 1494: c = ], s = ssere, state = 9
Iteration 1495: c = ), s = rrste, state = 9
Iteration 1496: c = a, s = rtsss, state = 9
Iteration 1497: c = a, s = rrsee, state = 9
Iteration 1498: c = (, s = strrr, state = 9
Iteration 1499: c = x, s = sssts, state = 9
Iteration 1500: c = ), s = tstee, state = 9
Iteration 1501: c = x, s = serrt, state = 9
Iteration 1502: c = ), s = ttser, state = 9
Iteration 1503: c = (, s = ttstt, state = 9
Iteration 1504: c = a, s = teeee, state = 9
Iteration 1505: c = }, s = rrste, state = 9
Iteration 1506: c = ], s = rterr, state = 9
Iteration 1507: c = }, s = stree, state = 9
Iteration 1508: c = {, s = rrttt, state = 9
Iteration 1509: c = x, s = esrst, state = 9
Iteration 1510: c = ), s = stert, state = 9
Iteration 1511: c = ], s = ttsrt, state = 9
Iteration 1512: c = {, s = eeees, state = 9
Iteration 1513: c = a, s = etses, state = 9
Iteration 1514: c = a, s = ttrts, state = 9
Iteration 1515: c = [, s = rrter, state = 9
Iteration 1516: c = {, s = rtesr, state = 9
Iteration 1517: c = [, s = reses, state = 9
Iteration 1518: c =  , s = rttsr, state = 9
Iteration 1519: c = a, s = rreet, state = 9
Iteration 1520: c = {, s = ertre, state = 9
Iteration 1521: c = (, s = tesrt, state = 9
Iteration 1522: c = (, s = ettte, state = 9
Iteration 1523: c =  , s = teett, state = 9
Iteration 1524: c = x, s = rreee, state = 9
Iteration 1525: c = }, s = rsets, state = 9
Iteration 1526: c =  , s = seres, state = 9
Iteration 1527: c =  , s = tttts, state = 9
Iteration 1528: c =  , s = reeer, state = 9
Iteration 1529: c = x, s = terrs, state = 9
Iteration 1530: c = ), s = ettss, state = 9
Iteration 1531: c = (, s = eetes, state = 9
Iteration 1532: c =  , s = rertr, state = 9
Iteration 1533: c = ], s = terrs, state = 9
Iteration 1534: c = (, s = eeees, state = 9
Iteration 1535: c = ), s = tttss, state = 9
Iteration 1536: c = a, s = rtsrr, state = 9
Iteration 1537: c = {, s = erssr, state = 9
Iteration 1538: c = }, s = rttrr, state = 9
Iteration 1539: c = }, s = eetss, state = 9
Iteration 1540: c =  , s = seeer, state = 9
Iteration 1541: c = [, s = trser, state = 9
Iteration 1542: c = }, s = sssrr, state = 9
Iteration 1543: c = x, s = srsse, state = 9
Iteration 1544: c = [, s = rsttr, state = 9
Iteration 1545: c =  , s = ettsr, state = 9
Iteration 1546: c = a, s = ettte, state = 9
Iteration 1547: c =  , s = etstt, state = 9
Iteration 1548: c = a, s = sesrt, state = 9
Iteration 1549: c = (, s = steet, state = 9
Iteration 1550: c = ), s = srees, state = 9
Iteration 1551: c = (, s = rters, state = 9
Iteration 1552: c =  , s = rtess, state = 9
Iteration 1553: c = a, s = rresr, state = 9
Iteration 1554: c = ], s = ssrtt, state = 9
Iteration 1555: c = a, s = estst, state = 9
Iteration 1556: c = ], s = rrrer, state = 9
Iteration 1557: c = a, s = trers, state = 9
Iteration 1558: c = ], s = rsrer, state = 9
Iteration 1559: c = a, s = sstts, state = 9
Iteration 1560: c = x, s = stess, state = 9
Iteration 1561: c = }, s = tsrrt, state = 9
Iteration 1562: c = x, s = ssrrs, state = 9
Iteration 1563: c = }, s = rsrrt, state = 9
Iteration 1564: c = }, s = estee, state = 9
Iteration 1565: c = {, s = rteee, state = 9
Iteration 1566: c = {, s = eeese, state = 9
Iteration 1567: c = [, s = ststt, state = 9
Iteration 1568: c =  , s = etssr, state = 9
Iteration 1569: c = (, s = tetss, state = 9
Iteration 1570: c = x, s = rsret, state = 9
Iteration 1571: c = [, s = reset, state = 9
The program took 0.000000 ns to run
error 
